millis,type,message
600100,INFO,powerData | busV: 4.14
600119,INFO,powerData | busI: 0.05
600137,INFO,powerData | BQ status reg: 172
600156,INFO,powerData | Fault reg: 0
600176,INFO,powerData | Charge status: 2
600195,INFO,powerData | DPM status: 1
627298,INFO,Starting analysis m: 0 t: 0 e: 7
627580,WARN,Disabling IridiumMessageSender transmissions
628834,INFO,Completed analysis m: 0 t: 0 e: 7
628856,INFO,Enabling IridiumMessageSender transmissions
678506,INFO,Starting analysis m: 0 t: 0 e: 8
678787,WARN,Disabling IridiumMessageSender transmissions
680030,INFO,Completed analysis m: 0 t: 0 e: 8
680054,INFO,Enabling IridiumMessageSender transmissions
729706,INFO,Starting analysis m: 0 t: 0 e: 9
729987,WARN,Disabling IridiumMessageSender transmissions
731318,INFO,Completed analysis m: 0 t: 0 e: 9
731344,INFO,Enabling IridiumMessageSender transmissions
780918,INFO,Starting analysis m: 0 t: 0 e: 10
781199,WARN,Disabling IridiumMessageSender transmissions
782434,INFO,Completed analysis m: 0 t: 0 e: 10
782460,INFO,Enabling IridiumMessageSender transmissions
832124,INFO,Starting analysis m: 0 t: 0 e: 11
832403,WARN,Disabling IridiumMessageSender transmissions
833646,INFO,Completed analysis m: 0 t: 0 e: 11
833671,INFO,Enabling IridiumMessageSender transmissions
833693,DEBUG,Sending Q index: 0 id: 0
883335,INFO,Starting analysis m: 0 t: 0 e: 12
883623,WARN,Disabling IridiumMessageSender transmissions
884887,INFO,Completed analysis m: 0 t: 0 e: 12
884910,INFO,Enabling IridiumMessageSender transmissions
900022,INFO,powerData | solV: 5.73
900042,INFO,powerData | solI: 0.09
900065,INFO,powerData | battV: 4.13
900085,INFO,powerData | battI: -0.03
900106,INFO,powerData | busV: 4.11
900124,INFO,powerData | busI: 0.13
900143,INFO,powerData | BQ status reg: 172
900161,INFO,powerData | Fault reg: 0
900184,INFO,powerData | Charge status: 2
900204,INFO,powerData | DPM status: 1
934543,INFO,Starting analysis m: 0 t: 0 e: 13
934821,WARN,Disabling IridiumMessageSender transmissions
936062,INFO,Completed analysis m: 0 t: 0 e: 13
936089,INFO,Enabling IridiumMessageSender transmissions
944066,INFO,Send complete: Q index: 0 count_id 0
985753,INFO,Starting analysis m: 0 t: 0 e: 14
986034,WARN,Disabling IridiumMessageSender transmissions
987269,INFO,Completed analysis m: 0 t: 0 e: 14
987299,INFO,Enabling IridiumMessageSender transmissions
1036965,INFO,Starting analysis m: 0 t: 0 e: 15
1037246,WARN,Disabling IridiumMessageSender transmissions
1038497,INFO,Completed analysis m: 0 t: 0 e: 15
1038522,INFO,Enabling IridiumMessageSender transmissions
1088172,INFO,Starting analysis m: 0 t: 0 e: 16
1088452,WARN,Disabling IridiumMessageSender transmissions
1089781,INFO,Completed analysis m: 0 t: 0 e: 16
1089804,INFO,Enabling IridiumMessageSender transmissions
1139386,INFO,Starting analysis m: 0 t: 0 e: 17
1139671,WARN,Disabling IridiumMessageSender transmissions
1140930,INFO,Completed analysis m: 0 t: 0 e: 17
1140953,INFO,Enabling IridiumMessageSender transmissions
1170210,INFO,Max CNO changed from 53 to 50
1190592,INFO,Starting analysis m: 0 t: 0 e: 18
1190873,WARN,Disabling IridiumMessageSender transmissions
1192116,INFO,Completed analysis m: 0 t: 0 e: 18
1192140,INFO,Enabling IridiumMessageSender transmissions
1200025,INFO,powerData | solV: 5.73
1200048,INFO,powerData | solI: 0.08
1200070,INFO,powerData | battV: 4.13
1200089,INFO,powerData | battI: 0.01
1200111,INFO,powerData | busV: 4.13
1200134,INFO,powerData | busI: 0.07
1200152,INFO,powerData | BQ status reg: 172
1200173,INFO,powerData | Fault reg: 0
1200193,INFO,powerData | Charge status: 2
1200211,INFO,powerData | DPM status: 1
1241798,INFO,Starting analysis m: 0 t: 0 e: 19
1242079,WARN,Disabling IridiumMessageSender transmissions
1243332,INFO,Completed analysis m: 0 t: 0 e: 19
1243357,INFO,Enabling IridiumMessageSender transmissions
1293006,INFO,Starting analysis m: 0 t: 0 e: 20
1293285,WARN,Disabling IridiumMessageSender transmissions
1294548,INFO,Completed analysis m: 0 t: 0 e: 20
