Date, Water Temperature, Salinity, Pressure, Density, Wave Period, Wave Mean Height, Wave Significant Height, Wind Speed, Wind Gusts, Wind Provenance, Air Temperature, Humidity
2019-04-13T17:45,3.75,29.56,100.65,1023.72,3.2,0.3,0.5,5,7,150,4.9,84
2019-04-13T18:00,3.59,29.57,100.62,1023.72,3.4,0.3,0.6,5,6,160,5.4,81
2019-04-13T18:15,3.77,29.53,100.61,1023.69,3.4,0.3,0.5,8,10,165,5.3,80
2019-04-13T18:30,4.05,29.45,100.590004,1023.63,3.2,0.3,0.4,10,13,177,5.3,81
2019-04-13T18:45,4.05,29.53,100.55,1023.69,3.5,0.3,0.4,14,18,164,5.3,80
2019-04-13T19:00,4.1,29.51,100.520004,1023.68,3.5,0.2,0.3,14,18,172,5.4,80
2019-04-13T19:15,4.1,29.5,100.509995,1023.67,3.4,0.2,0.3,20,24,186,5.6,79
2019-04-13T19:30,3.85,29.4,100.509995,1023.59,3.5,0.2,0.3,32,41,211,7.9,63
2019-04-13T19:45,3.75,29.41,100.479996,1023.6,2.7,0.3,0.4,39,60,211,8.2,58
2019-04-13T20:00,3.63,29.42,100.5,1023.6,3,0.6,0.8,44,60,259,8.5,57
2019-04-13T20:15,3.62,29.5,100.490005,1023.67,3.5,1.1,1.8,42,60,218,8.2,56
2019-04-13T20:30,3.67,29.56,100.55,1023.72,3.5,1,1.5,32,44,277,6.4,63
2019-04-13T20:45,3.63,29.68,100.55,1023.81,3.6,1.1,1.7,29,41,249,7,63
2019-04-13T21:00,3.54,29.79,100.58,1023.9,3.9,1.3,1.8,41,57,266,9.1,53
2019-04-13T21:15,3.48,29.91,100.61,1024,4.3,1.5,2.1,28,39,300,7.6,60
2019-04-13T21:30,3.41,30.01,100.61,1024.08,4,1.3,1.8,13,20,229,6.1,72
2019-04-13T21:45,3.39,30.04,100.62,1024.1,3.8,1.2,1.9,12,19,261,6.7,69
2019-04-13T22:00,3.39,30.04,100.64,1024.1,4,1.2,1.9,6,10,298,5.6,77
2019-04-13T22:15,3.44,29.98,100.659996,1024.06,3.7,1,1.6,4,7,5,5.2,83
2019-04-13T22:30,3.48,29.92,100.69,1024.01,3.8,1,1.4,7,12,346,4.6,86
2019-04-13T22:45,3.52,29.8,100.729996,1023.91,3.7,0.8,1.3,9,17,37,4.3,86
2019-04-13T23:00,3.61,29.63,100.75,1023.77,4,0.8,1.1,10,18,1,3.8,88
2019-04-13T23:15,3.64,29.55,100.759995,1023.71,4.3,0.8,1.3,9,15,337,3.6,90
2019-04-13T23:30,3.66,29.49,100.759995,1023.66,4,0.7,1,7,12,346,3.6,90
2019-04-13T23:45,3.64,29.38,100.79,1023.57,3.9,0.6,1,4,8,133,3.8,89
2019-04-14T00:00,3.57,29.3,100.81,1023.51,4,0.5,1.3,2,5,324,4.5,86
2019-04-14T00:15,3.42,29.2,100.81,1023.43,3.8,0.4,0.7,9,12,174,4.1,87
2019-04-14T00:30,3.55,29.12,100.82,1023.36,3.4,0.4,0.7,3,7,167,4.3,87
2019-04-14T00:45,3.57,29.06,100.83,1023.31,3.7,0.4,0.6,2,6,147,4.6,85
2019-04-14T01:00,3.57,29.01,100.86,1023.27,3.7,0.4,0.6,4,8,289,4.9,83
2019-04-14T01:15,3.48,28.94,100.88,1023.22,3.6,0.4,0.5,6,9,287,4.4,85
2019-04-14T01:30,3.33,28.83,100.89,1023.13,3.5,0.4,0.6,10,13,262,6.2,69
