Date, Water Temperature, Salinity, Pressure, Density, Wave Period, Wave Mean Height, Wave Significant Height, Wind Speed, Wind Gusts, Wind Provenance, Air Temperature, Humidity
2014-05-15T14:03,7.1,19.8,101.96,1015.6,0,0,0,9,11,41,7.4,88
2014-05-15T14:18,6.6,19.9,101.94,1015.7,0,0,0,10,12,46,7.3,88
2014-05-15T14:33,6.7,19.9,101.95,1015.7,0,0,0,11,14,50,7.3,88
2014-05-15T14:48,6.7,19.9,101.89,1015.7,0,0,0,12,15,44,7.3,88
2014-05-15T15:03,6.8,19.9,101.87,1015.7,0,0,0,16,18,37,7.3,88
2014-05-15T15:18,6.7,19.9,101.87,1015.7,1.8,0.1,0.3,13,16,50,7.3,88
2014-05-15T15:33,6.9,19.9,101.88,1015.7,1.8,0.1,0.3,13,15,39,7.3,88
2014-05-15T15:48,6.9,19.8,101.86,1015.6,1.9,0.1,0.2,12,15,46,7.4,87
2014-05-19T00:03,8.1,22.4,101.85,1017.6,2.1,0.3,0.6,8,9,84,6.6,94
2014-05-19T00:18,7.7,22.7,101.86,1017.8,2.1,0.3,0.6,7,8,79,6.5,93
2014-05-19T00:33,7.6,22.8,101.88,1017.9,2.3,0.4,0.7,7,8,87,6.5,93
2014-05-19T00:48,7.2,23.3,101.9,1018.3,2.3,0.4,1,7,9,100,6.4,92
2014-05-19T01:03,7.8,22.6,101.9,1017.8,2.3,0.4,0.7,7,8,85,6.4,92
2014-05-19T01:18,7.6,22.9,101.95,1018,2.4,0.4,0.8,6,7,101,6.2,92
2014-05-19T01:33,6.7,23.8,101.96,1018.7,2.5,0.4,0.7,5,7,101,6.2,92
2014-05-19T01:48,6.2,24.3,101.96,1019.1,2.6,0.4,1,5,6,95,5.9,92
2014-05-19T02:03,5.8,24.6,101.94,1019.3,2.5,0.4,0.8,6,8,112,6,93
2014-05-19T02:18,5.4,25.1,101.93,1019.7,2.5,0.4,0.8,5,7,112,5.9,93
2014-05-19T02:33,4.9,25.4,101.88,1019.9,2.6,0.4,0.9,6,7,100,5.7,93
2014-05-19T02:48,4.7,25.6,101.87,1020.1,2.6,0.4,1,6,8,114,5.7,92
2014-05-19T03:03,4.5,25.6,101.87,1020.1,2.5,0.4,0.8,6,7,105,5.5,93
2014-05-19T03:18,4.7,25.7,101.86,1020.2,2.7,0.4,0.9,6,7,98,5.4,92
2014-05-19T03:33,4.4,25.8,101.87,1020.3,2.5,0.3,0.7,4,5,83,5.2,93
2014-05-19T03:48,4.2,25.8,101.88,1020.3,2.8,0.4,0.8,3,4,64,5,93
2014-05-19T04:03,4.5,25.7,101.89,1020.2,2.8,0.4,0.9,2,3,48,4.9,93
2014-05-19T04:18,4.4,25.8,101.9,1020.3,2.6,0.3,0.7,3,3,33,5.1,93
2014-05-19T04:33,4.2,25.8,101.909996,1020.3,2.7,0.4,0.6,2,3,29,5.3,94
2014-05-19T04:48,3.9,25.8,101.9,1020.3,2.6,0.3,0.7,1,2,25,5.4,94
