Date, Water Temperature, Salinity, Pressure, Density, Wave Period, Wave Mean Height, Wave Significant Height, Wind Speed, Wind Gusts, Wind Provenance, Air Temperature, Humidity
2018-04-14T18:30,15.5,0,102.4,0,8.2,0,7.8,0,0,70,17.8,18
2018-04-14T18:45,15.5,0,102.43001,0,6.4,0,7.2,0,0,51,17.9,18
2018-04-14T19:00,15.5,0,102.43001,0,8.4,0,7.6,0,0,84,17.9,18
2018-04-15T16:30,6.4,0,103.96999,0,4.2,0.1,4.4,1,3,181,-6.3,41
2018-04-15T16:45,1.1,20.1,103.96999,1016.08,6.6,0.3,4.8,5,8,196,-6.8,41
2018-04-15T17:00,1.2,20.1,103.96,1016.08,3.9,0.2,4.8,9,12,168,-7,45
2018-04-15T17:15,1.3,20.1,103.94,1016.07,4,0.2,4.4,12,18,178,-6.7,51
2018-04-15T17:30,1.4,20.1,103.93001,1016.07,5.4,0.2,4.3,9,12,226,-6.6,46
2018-04-15T17:45,1.5,20.1,103.93001,1016.07,3.7,0.2,4.1,12,17,214,-6.4,46
2018-04-15T18:00,1.5,20,103.92,1015.99,3.8,0.2,3.9,14,18,170,-6.4,47
2018-04-15T18:15,1.5,20.1,103.89,1016.07,3.6,0.2,3.8,13,16,190,-6.2,52
2018-04-15T18:30,1.6,20.1,103.89,1016.07,3.6,0.2,4.1,17,22,202,-6.2,52
2018-04-15T18:45,1.5,20.2,103.89,1016.15,5.5,0.2,4.2,17,21,211,-6.1,50
2018-04-15T19:00,1.5,20.2,103.89,1016.15,3.5,0.2,3.9,16,20,194,-5.9,54
2018-04-15T19:15,1.3,20.4,103.86,1016.32,1.8,0.2,3.6,17,21,206,-5.5,50
2018-04-15T19:30,1.2,20.5,103.869995,1016.4,2,0.2,3.2,13,17,184,-5.3,49
2018-04-15T19:45,1.2,20.6,103.85,1016.48,2,0.2,2.9,13,17,188,-5,51
2018-04-15T20:00,1.2,20.6,103.83,1016.48,2,0.2,2.6,12,17,185,-4.7,52
2018-04-15T20:15,1.1,20.6,103.840004,1016.48,2,0.2,2.5,11,14,189,-4.5,47
2018-04-15T20:30,1.1,20.6,103.840004,1016.48,2.2,0.2,2.3,12,15,172,-4.2,51
2018-04-15T20:45,1.1,20.5,103.840004,1016.4,2.1,0.2,2.3,13,17,178,-4.3,51
2018-04-15T21:00,1.1,20.5,103.83,1016.4,2,0.2,2.2,9,14,156,-4.1,49
2018-04-15T21:15,1.1,20.6,103.83,1016.48,2.1,0.2,2.2,10,13,167,-4.2,46
2018-04-15T21:30,1.1,20.5,103.840004,1016.4,2,0.1,2.5,11,15,180,-3.9,47
2018-04-15T21:45,1.1,20.5,103.85,1016.4,2,0.1,2.6,10,14,162,-3.7,46
2018-04-15T22:00,1.1,20.5,103.869995,1016.4,1.9,0.1,2.8,8,10,158,-3.5,43
2018-04-15T22:15,1.1,20.5,103.869995,1016.4,5,0.1,3.4,9,12,180,-3.4,42
2018-04-15T22:30,1.1,20.5,103.880005,1016.4,5.2,0.1,3.8,8,10,192,-3.3,41
2018-04-15T22:45,1.1,20.5,103.869995,1016.4,5.2,0.1,4.1,6,8,190,-3.1,41
2018-04-15T23:00,1,20.5,103.880005,1016.4,4.8,0.1,4.2,7,8,196,-2.9,43
2018-04-15T23:15,1,20.5,103.89,1016.4,4.9,0.1,4.5,8,9,184,-2.8,41
2018-04-15T23:30,1,20.6,103.89,1016.48,4.8,0.1,4.7,5,7,206,-2.8,38
2018-04-15T23:45,0.9,20.7,103.9,1016.56,5,0.1,4.7,5,6,217,-2.7,41
2018-04-16T00:00,0.9,20.7,103.9,1016.56,4.9,0.1,4.8,4,5,210,-2.7,39
2018-04-16T00:15,0.9,20.9,103.9,1016.73,4.9,0.1,4.8,1,2,225,-2.8,38
2018-04-16T00:30,1,20.8,103.92,1016.64,4.5,0,4.7,0,2,245,-2.9,40
2018-04-16T00:45,0.9,20.8,103.92,1016.65,4.5,0,4.7,1,2,262,-3,41
2018-04-16T01:00,0.9,20.9,103.909996,1016.73,4.4,0,4.6,2,3,315,-2.9,40
2018-04-16T01:15,0.9,21,103.9,1016.81,2.1,0,4.6,3,4,333,-2.7,41
2018-04-16T01:30,0.9,20.9,103.89,1016.73,4.6,0,4.6,4,5,9,-2.5,42
2018-04-16T01:45,0.7,20.8,103.880005,1016.65,3.8,0.1,4.4,7,8,4,-2.5,49
2018-04-16T02:00,0.9,20.8,103.880005,1016.65,4.2,0.1,4.3,6,7,15,-2.4,46
2018-04-16T02:15,1,20.8,103.89,1016.64,4.5,0,4.4,3,5,5,-2.4,47
2018-04-16T02:30,0.9,20.8,103.9,1016.65,4.3,0,4.4,1,2,117,-2.4,45
2018-04-16T02:45,0.9,20.8,103.880005,1016.65,4.5,0,4.5,1,2,150,-2.6,48
2018-04-16T03:00,0.9,20.9,103.880005,1016.73,4.6,0,4.5,0,1,343,-2.7,49
2018-04-16T03:15,0.7,20.8,103.86,1016.65,4.8,0,4.6,1,2,230,-2.4,48
2018-04-16T03:30,0.7,20.9,103.840004,1016.73,4.1,0,4.4,2,3,242,-2.5,51
2018-04-16T03:45,0.7,20.9,103.83,1016.73,4.5,0,4.3,2,3,206,-2.6,50
2018-04-16T04:00,0.7,20.9,103.81999,1016.73,4.4,0,4.3,1,2,191,-2.4,49
2018-04-16T04:15,0.7,21,103.81,1016.81,4.5,0,4.3,1,2,2,-2.5,51
2018-04-16T04:30,0.9,21.4,103.8,1017.13,4.5,0,4.4,1,2,25,-2.3,51
2018-04-16T04:45,0.9,21.5,103.79,1017.21,4.3,0,4.4,0,1,239,-2.6,50
2018-04-16T05:00,0.9,21.4,103.8,1017.13,4.5,0,4.3,2,2,201,-2.6,52
2018-04-16T05:15,0.8,21.4,103.81,1017.13,4.1,0,4.2,2,2,149,-2.4,49
2018-04-16T05:30,0.8,21.3,103.81999,1017.05,4,0,4.1,4,5,111,-2.2,49
2018-04-16T05:45,0.8,21.3,103.81999,1017.05,3.8,0,4,5,6,65,-2.2,49
2018-04-16T06:00,0.8,21.2,103.81,1016.97,3.6,0,3.7,6,7,71,-2,51
