Date, Water Temperature, Salinity, Pressure, Density, Wave Period, Wave Mean Height, Wave Significant Height, Wind Speed, Wind Gusts, Wind Provenance, Air Temperature, Humidity
2022-05-18T00:00,3.4,25.9,99.21,1020.77,3.9,1,1.7,28,37,52,4.3,100
2022-05-18T00:30,3.3,26.06,99.3,1020.9,4.2,1,1.7,24,33,115,4.2,100
2022-05-18T01:00,3.21,26.22,99.3,1021.02,4.5,0.8,1.3,17,22,156,4.2,100
2022-05-18T01:30,2.97,26.73,99.3,1021.44,5.4,0.7,0.9,29,39,224,4.6,100
2022-05-18T02:00,2.9,26.87,99.28,1021.55,3.6,0.7,0.9,37,50,215,4.4,91
2022-05-18T03:00,2.88,26.95,99.29,1021.61,3.7,1.2,1.7,39,55,252,4.2,94
2022-05-18T03:30,2.87,26.99,99.37,1021.64,4,1.2,1.5,31,43,252,4.1,91
2022-05-18T04:00,2.89,27.01,99.36,1021.66,3.8,1.1,1.4,37,48,242,4.1,91
2022-05-18T04:30,2.92,26.95,99.37,1021.61,3.5,1,1.4,25,34,257,4,89
2022-05-18T05:00,2.97,26.78,99.409996,1021.48,3.8,1.1,1.7,34,46,258,3.8,87
2022-05-18T05:30,3.04,26.57,99.4,1021.31,3.9,1.2,1.6,36,45,254,3.7,88
2022-05-18T06:00,3.1,26.43,99.43,1021.19,4,1.1,1.7,31,43,248,3.6,90
2022-05-18T06:30,3.16,26.31,99.409996,1021.1,3.9,1.1,1.5,31,40,221,3.5,92
2022-05-18T07:00,3.21,26.2,99.44,1021.01,4.2,1.1,1.4,32,40,237,3.3,100
2022-05-18T07:30,3.29,26.04,99.479996,1020.88,4.3,1.2,2,28,35,267,3.5,100
2022-05-18T08:00,3.42,25.84,99.520004,1020.72,4.3,1.1,1.7,23,30,269,5,100
2022-05-18T08:30,3.52,25.71,99.61,1020.61,4.4,1,1.6,30,38,295,5.5,83
2022-05-18T09:00,3.6,25.6,99.69,1020.52,4,1,1.5,27,34,292,5.1,84
2022-05-18T09:30,3.71,25.42,99.759995,1020.38,3.8,0.9,1.3,26,37,326,5.4,79
2022-05-18T10:00,3.68,25.47,99.8,1020.42,3.4,0.9,1.2,30,40,344,5.3,79
2022-05-18T10:30,5.3,23.13,99.88,1018.53,3.6,0.9,1.2,36,43,333,5.7,74
2022-05-18T11:00,5.27,22.93,99.95,1018.37,3.5,1,1.7,33,41,321,5.5,74
2022-05-18T11:30,4.96,23.17,100.009995,1018.57,3.6,1.1,1.6,36,46,313,5.5,72
2022-05-18T12:00,4.61,23.77,100.08,1019.05,3.8,1.1,1.6,33,44,335,5.4,72
2022-05-18T12:30,4.31,24.38,100.18,1019.54,3.7,1,1.5,24,36,325,5.4,73
2022-05-18T13:00,4.28,24.49,100.18,1019.63,3.8,1.2,1.6,34,43,350,5.6,73
2022-05-18T13:30,4.23,24.58,100.29,1019.7,3.8,1.2,2.1,36,51,319,5.9,67
2022-05-18T14:00,4.25,24.65,100.36,1019.76,3.6,1.1,1.7,33,44,322,6,67
2022-05-18T14:30,4.27,24.69,100.39,1019.79,3.6,1.1,1.4,27,35,337,6.1,69
2022-05-18T16:00,4.44,24.72,100.479996,1019.82,3.6,0.8,1.3,21,26,295,6.6,66
2022-05-18T16:30,4.48,24.8,100.47,1019.88,3.4,0.6,0.9,22,29,325,6.7,69
2022-05-18T17:30,4.66,24.78,100.5,1019.86,3.4,0.7,1.1,19,26,338,7,65
2022-05-18T18:30,4.6,24.92,100.53,1019.98,3.6,0.8,1.1,27,40,297,8,61
2022-05-18T19:00,4.66,24.94,100.509995,1019.99,3.5,0.8,1.4,24,32,298,8.2,58
2022-05-18T19:30,4.69,24.97,100.520004,1020.02,3.7,0.9,1.6,22,31,304,8.4,59
2022-05-18T20:00,4.7,24.99,100.53,1020.03,3.4,0.7,1.1,26,36,318,8.6,53
2022-05-18T20:30,4.76,24.95,100.56,1020,3.3,0.7,1,15,21,333,8.5,58
2022-05-18T21:00,4.72,24.99,100.54,1020.03,3.3,0.7,1.1,30,37,345,9.5,47
2022-05-18T21:30,4.87,24.91,100.590004,1019.97,3.4,0.7,0.9,23,29,343,8.8,54
2022-05-18T22:00,4.91,24.9,100.63,1019.96,3.4,0.7,1,26,35,336,9,53
2022-05-18T22:30,4.79,24.93,100.68,1019.98,3.4,0.8,1.2,27,35,345,8.8,55
2022-05-18T23:00,4.66,25,100.740005,1020.04,3.2,0.8,1.1,19,24,339,8,63
2022-05-18T23:30,4.64,25.02,100.82,1020.06,3.3,0.7,1.1,24,33,340,8.2,58
2022-05-19T00:00,4.51,25.08,100.89,1020.11,3.3,0.8,1.3,20,26,323,7.8,63
2022-05-19T00:30,4.45,25.12,100.93,1020.14,3.5,0.9,1.4,23,30,344,7.7,63
2022-05-19T01:00,4.52,25.11,101.009995,1020.13,3.7,1,1.5,27,33,336,7.4,59
2022-05-19T01:30,4.52,25.09,101.020004,1020.11,3.8,0.9,1.3,21,27,332,6.8,62
2022-05-19T02:00,4.51,25.12,101.05,1020.14,3.6,0.7,1.1,21,26,307,6.6,62
