Date, Water Temperature, Salinity, Pressure, Density, Wave Period, Wave Mean Height, Wave Significant Height, Wind Speed, Wind Gusts, Wind Provenance, Air Temperature, Humidity
2021-05-25T12:30,8.43,26.03,101.009995,1020.87,3.7,1.2,1.8,35,49,219,9.9,65
2021-05-25T13:00,8.56,25.95,100.94,1020.81,3.8,1.3,1.8,39,51,209,9.9,67
2021-05-25T13:30,8.39,26.06,100.89,1020.9,3.8,1.4,1.9,38,57,227,10.3,65
2021-05-25T14:00,8.01,26.19,100.87,1021,3.9,1.5,2.1,36,45,221,10,69
2021-05-25T14:30,7.8,26.26,100.79,1021.06,3.9,1.3,2,33,44,237,10.2,67
2021-05-25T15:00,7.64,26.31,100.71,1021.1,4,1.3,2,37,49,230,10,68
2021-05-25T15:30,7.72,26.28,100.67,1021.07,3.9,1.1,1.8,34,45,206,10.6,67
2021-05-25T16:00,7.81,26.22,100.61,1021.02,3.8,1.3,1.9,37,50,216,10.8,66
2021-05-25T16:30,7.57,26.29,100.58,1021.08,4.2,1.4,2.1,39,51,221,11.3,65
2021-05-25T17:00,7.56,26.37,100.57,1021.15,3.7,1.2,1.8,41,56,221,11.2,68
2021-05-25T17:30,7.46,26.43,100.53,1021.19,4.1,1.5,2.2,44,57,242,11.2,66
2021-05-25T18:00,7.3,26.48,100.54,1021.23,4.3,1.6,2.7,37,48,255,10.8,68
2021-05-25T18:30,7.24,26.51,100.53,1021.26,4.3,1.5,2.3,43,62,264,12.4,63
2021-05-25T19:00,7.24,26.52,100.520004,1021.27,4.4,1.8,2.9,40,52,214,11.7,67
2021-05-25T19:30,7.15,26.56,100.520004,1021.3,4.5,2.1,3.4,45,57,232,12.2,70
2021-05-25T20:00,7.02,26.6,100.56,1021.33,4.4,1.9,2.6,42,56,198,11.2,73
2021-05-25T20:30,6.95,26.6,100.58,1021.33,4.4,1.7,2.6,40,53,213,10.9,76
2021-05-25T21:00,6.86,26.64,100.58,1021.36,4.3,1.7,2.5,39,58,224,11.1,77
2021-05-25T21:30,6.83,26.62,100.590004,1021.35,4.2,1.8,2.8,40,67,230,11.1,79
2021-05-25T22:00,6.72,26.64,100.6,1021.36,4.3,1.7,3,38,64,251,11.6,78
