Date, Water Temperature, Salinity, Pressure, Density, Wave Period, Wave Mean Height, Wave Significant Height, Wind Speed, Wind Gusts, Wind Provenance, Air Temperature, Humidity
2023-06-17T16:00,8.24,24.91,101.37,19.33,4.5,1.6,2.4,36,50,41,10.1,90
2023-06-17T16:30,8.17,24.96,101.36,19.38,4.7,1.6,2.4,36,47,45,10.1,89
2023-06-17T17:00,8.46,25.05,101.35,19.41,4.8,1.6,2.7,37,48,40,10.1,86
2023-06-17T17:30,8.58,25.05,101.37,19.39,4.7,1.6,3.1,37,51,46,10.2,87
2023-06-17T18:00,8.52,25.04,101.340004,19.4,4.5,1.5,2.3,35,49,47,10.3,87
2023-06-17T18:30,8.55,25.03,101.35,19.39,4.8,1.7,2.7,40,53,48,10.4,84
2023-06-17T19:00,8.55,25.05,101.35,19.4,5.2,1.9,2.9,38,49,50,10.4,82
2023-06-17T19:30,8.56,25.07,101.35,19.42,4.5,1.6,2.5,35,51,49,10.4,84
2023-06-17T20:00,8.57,25.09,101.32,19.43,4.4,1.5,2.6,37,48,44,10.5,83
2023-06-17T20:30,8.59,25.1,101.33,19.43,4.5,1.8,2.8,35,44,47,10.5,83
2023-06-17T21:00,8.59,25.11,101.31,19.44,4.5,1.5,2.4,32,45,47,10.4,83
2023-06-17T21:30,8.59,25.13,101.33,19.46,4.4,1.6,2.7,30,39,43,10.4,84
2023-06-17T22:00,8.6,25.15,101.340004,19.48,4.7,1.7,2.6,28,41,44,10.5,85
2023-06-17T22:30,8.63,25.16,101.36,19.48,4.5,1.6,2.2,26,34,44,10.4,86
2023-06-17T23:00,8.66,25.16,101.37,19.47,4.4,1.4,2.1,27,34,42,10.5,86
2023-06-17T23:30,8.64,25.17,101.409996,19.48,4.5,1.4,2.3,23,32,35,10.4,86
2023-06-18T00:00,8.62,25.17,101.4,19.49,5.1,1.4,2.3,25,33,27,10.4,86
2023-06-18T00:30,8.55,25.2,101.37,19.51,4.5,1.3,2.1,31,40,34,10.5,85
2023-06-18T01:00,8.53,25.16,101.39,19.49,4.7,1.3,2.2,28,36,35,10.3,87
2023-06-18T01:30,8.45,25.11,101.4,19.46,5.1,1.6,2.6,31,42,31,10.4,86
2023-06-18T02:00,8.19,25.16,101.38,19.53,4.8,1.5,2.1,31,40,33,10.3,87
2023-06-18T02:30,8.11,25.25,101.4,19.62,4.5,1.5,2.6,32,42,38,10.1,88
