Date, Water Temperature, Salinity, Pressure, Density, Wave Period, Wave Mean Height, Wave Significant Height, Wind Speed, Wind Gusts, Wind Provenance, Air Temperature, Humidity
2016-04-30T14:33,3.7,27.1,102.46,1021.3,2.2,0.2,0.6,9,11,245,3.5,65
2016-04-30T14:48,3.8,27.1,102.46,1021.3,2.3,0.3,0.5,7,9,213,3.6,63
2016-04-30T15:03,3.8,27,102.48,1021.2,2.3,0.2,0.5,14,17,205,3.4,61
2016-04-30T15:18,3.8,26.9,102.490005,1021.1,2.3,0.2,0.5,16,20,209,3.4,58
2016-04-30T15:33,3.8,26.9,102.48,1021.1,2.3,0.2,0.5,16,18,223,3.5,58
2016-04-30T15:48,3.8,26.9,102.46999,1021.1,2.1,0.1,0.3,18,21,212,3.5,62
2016-04-30T16:03,3.7,26.9,102.46,1021.1,1.9,0.1,0.2,20,25,223,3.4,60
2016-04-30T16:18,3.8,26.9,102.44,1021.1,1.8,0.1,0.2,17,19,228,3.4,63
2016-04-30T16:33,3.9,26.9,102.44,1021.1,1.8,0.1,0.2,16,20,214,3.6,63
2016-04-30T16:48,3.8,26.9,102.44,1021.1,1.8,0.1,0.3,16,19,210,3.7,62
2016-04-30T17:03,4.1,26.9,102.44,1021.1,1.8,0.1,0.2,16,19,225,3.8,65
2016-04-30T17:18,4,26.9,102.43001,1021.1,0,0,0,14,16,216,3.8,66
2016-04-30T17:33,4.1,26.9,102.43001,1021.1,1.8,0.1,0.2,14,16,218,4.1,61
2016-04-30T17:48,4.2,27,102.43001,1021.2,1.8,0.1,0.2,15,17,221,4.1,63
2016-04-30T18:03,4.2,27.1,102.43001,1021.3,1.9,0.1,0.2,15,17,227,4.2,69
2016-04-30T18:18,4.4,27.2,102.42,1021.3,0,0,0,14,16,219,4.1,71
2016-04-30T18:33,4.2,27.4,102.409996,1021.5,0,0,0,14,17,234,4.1,70
2016-04-30T18:48,4,27.8,102.4,1021.8,0,0,0,14,17,228,4,70
2016-04-30T19:03,3.7,28.1,102.38,1022,1.9,0.1,0.2,13,16,226,4.1,70
2016-04-30T19:18,3.6,28.6,102.36,1022.4,1.9,0.1,0.2,12,14,231,4.3,69
