Date, Water Temperature, Salinity, Pressure, Density, Wave Period, Wave Mean Height, Wave Significant Height, Wind Speed, Wind Gusts, Wind Provenance, Air Temperature, Humidity
2017-04-29T18:45,2.3,25.1,100.62,1019.76,3.2,0.2,0.4,20,26,281,5.5,73
2017-04-29T19:00,2.3,25.1,100.62,1019.76,18.6,0.2,0.3,26,35,306,5.4,71
2017-04-29T19:15,2.2,25.1,100.65,1019.76,2.1,0.2,0.4,28,37,305,6.4,64
2017-04-29T19:30,2.3,25.1,100.7,1019.76,2.5,0.2,0.4,22,27,285,5.7,69
2017-04-29T19:45,2.3,25.1,100.729996,1019.76,2.2,0.3,0.5,20,27,279,5.7,68
2017-04-29T20:00,2.4,25.1,100.740005,1019.76,2.7,0.2,0.4,24,32,288,5.9,65
2017-04-29T20:15,2.5,24.7,100.78,1019.45,19,0.3,0.4,26,32,304,5.7,66
2017-04-29T20:30,2.6,24.4,100.82,1019.21,18.2,0.3,0.4,29,36,331,5.8,63
2017-04-29T20:45,2.6,24.3,100.85,1019.13,4.1,0.2,0.4,29,41,304,5.9,61
2017-04-29T21:00,2.6,24.3,100.9,1019.13,7.2,0.2,0.4,25,32,289,5.8,61
2017-04-29T21:15,2.8,23.4,100.93,1018.43,15.9,0.3,0.4,19,25,309,5.4,64
2017-04-29T21:30,2.7,23.5,100.97,1018.51,16.2,0.3,0.4,16,21,315,5.1,68
2017-04-29T21:45,2.8,23.2,101.009995,1018.28,20.3,0.3,0.4,21,26,282,5,65
2017-04-29T22:00,2.7,23.3,101.05,1018.36,4.1,0.2,0.3,20,26,306,5,69
2017-04-29T22:15,2.8,22.9,101.08,1018.05,3.7,0.2,0.3,24,31,289,5,68
2017-04-29T22:30,2.7,23.4,101.090004,1018.44,12.5,0.2,0.3,38,51,294,5.4,60
2017-04-29T22:45,2.5,23.9,101.15,1018.83,6.2,0.2,0.3,29,38,328,5.1,62
2017-04-29T23:00,2.5,24,101.18,1018.9,2.5,0.2,0.5,26,35,319,4.9,63
2017-04-29T23:15,2.4,24.1,101.22,1018.98,16.5,0.3,0.4,25,33,269,4.8,65
2017-04-29T23:30,2.4,24.1,101.259995,1018.98,17.8,0.3,0.5,26,33,308,5,63
2017-04-29T23:45,2.3,24.3,101.3,1019.14,3.1,0.3,0.5,28,39,300,4.8,63
2017-04-30T00:00,2.3,24.4,101.35,1019.22,,,,20,28,310,4.3,69
2017-04-30T00:15,2.3,24.4,101.38,1019.22,4,0.7,1.1,29,35,301,4.4,65
2017-04-30T00:30,2.3,24.5,101.43,1019.29,3.9,0.5,0.9,31,40,355,4.3,63
2017-04-30T00:45,2.2,24.6,101.5,1019.37,3.8,0.4,0.7,25,32,305,3.9,68
2017-04-30T01:00,2.2,24.7,101.509995,1019.45,3.8,0.4,0.7,35,45,308,3.9,68
2017-04-30T01:15,2.2,24.8,101.58,1019.53,20.3,0.4,0.6,27,35,285,3.6,71
2017-04-30T01:30,2.2,24.6,101.62,1019.37,3.4,0.3,0.5,30,38,287,3.6,67
2017-04-30T01:45,2.2,24.6,101.659996,1019.37,9.9,0.3,0.5,28,38,300,3.5,68
2017-04-30T02:00,2.2,24.5,101.69,1019.3,17.8,0.4,0.6,31,38,298,3.5,65
2017-04-30T02:15,2.2,24.5,101.72,1019.3,3.4,0.3,0.5,35,45,322,3.7,63
2017-04-30T02:30,2.1,24.7,101.740005,1019.45,3.4,0.3,0.5,35,46,294,3.6,59
2017-04-30T02:45,2.1,24.8,101.770004,1019.53,3.1,0.3,0.5,34,44,332,3.6,61
2017-04-30T03:00,2,24.9,101.78,1019.61,3.3,0.3,0.5,33,48,315,3.5,58
2017-04-30T03:15,2.1,24.8,101.79,1019.53,3.2,0.3,0.5,30,39,327,3.4,59
2017-04-30T03:30,2.1,24.7,101.85,1019.45,16.8,0.4,0.6,30,39,304,3.4,60
2017-04-30T03:45,2.1,24.7,101.86,1019.45,19,0.4,0.6,31,41,330,3.3,60
2017-04-30T04:00,2.1,24.5,101.840004,1019.3,3.5,0.3,0.6,31,44,315,3.1,57
