Date, Water Temperature, Salinity, Pressure, Density, Wave Period, Wave Mean Height, Wave Significant Height, Wind Speed, Wind Gusts, Wind Provenance, Air Temperature, Humidity
2020-05-16T21:00,5.34,24.35,101.68,1019.52,2.6,0.1,0.2,10,15,226,7,78
2020-05-16T21:30,5.02,24.34,101.7,1019.51,2.5,0.1,0.2,14,17,229,7.1,75
2020-05-16T22:00,5.39,24.32,101.7,1019.49,2.6,0.1,0.3,11,13,207,7.1,76
2020-05-16T22:30,5.7,24.19,101.7,1019.39,2.4,0.1,0.2,18,23,226,7.4,75
2020-05-16T23:00,5.32,24.13,101.7,1019.34,2.7,0.3,0.5,21,26,232,7.9,71
2020-05-16T23:30,5.64,24.09,101.7,1019.31,2.5,0.3,0.5,20,25,239,7.5,75
2020-05-17T00:00,6.04,23.32,101.740005,1018.69,2.7,0.3,0.5,23,28,231,8,72
2020-05-17T00:30,5.77,23.12,101.729996,1018.53,2.7,0.4,0.6,22,28,237,8.6,69
2020-05-17T01:00,5.86,23.01,101.729996,1018.44,2.7,0.4,0.6,18,23,246,8.2,72
2020-05-17T01:30,5.4,22.77,101.740005,1018.24,2.6,0.3,0.4,16,19,241,7.9,74
2020-05-17T02:00,5.76,22.34,101.740005,1017.9,2.6,0.3,0.5,17,22,233,7.9,75
2020-05-17T02:30,5.96,22.26,101.75,1017.83,2.6,0.3,0.4,20,23,251,8.3,73
2020-05-17T03:00,5.73,22.48,101.759995,1018.01,2.7,0.4,0.7,19,24,239,8.5,72
2020-05-17T03:30,5.75,22.47,101.8,1018,2.8,0.3,0.7,22,28,258,7.7,77
2020-05-17T04:00,5.57,22.66,101.8,1018.16,2.7,0.3,0.4,19,23,291,7.1,79
2020-05-17T04:30,5.49,22.73,101.83,1018.21,2.7,0.2,0.5,22,27,334,8.1,64
2020-05-17T05:00,5.4,22.71,101.86,1018.2,2.7,0.3,0.5,17,20,327,7.5,68
